row_type,app_id,kelompok,aplikasi,item_index,kategori,aktivitas_aturan,deskripsi,tanggal,selesai,bukti_catatan_singkat,tanggal_catatan_kelompok,catatan_kelompok,tanggal_catatan_dosen,catatan_dosen,exported_at
item,smartbank,Kelompok 1,SmartBank (Core),0,Fitur,Registrasi dan login user,Akun pengguna dan JWT authentication berjalan.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),1,Fitur,Manajemen saldo dan riwayat,User dapat melihat saldo dan histori transaksi.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),2,Fitur,Transfer antar user,Debit/kredit antar akun tercatat di ledger.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),3,Fitur,Pembayaran transaksi,"Memproses payment request dari Marketplace, POS, SupplierHub, dan LogistiKita.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),4,Fitur,Pinjaman/loan,"Pengajuan, limit, bunga, dan status pinjaman terdokumentasi.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),5,Fitur,Pajak dan biaya,"Fee bank, pajak sistem, dan potongan layanan dihitung otomatis.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),6,Fitur,Ledger transaksi,Semua perubahan saldo menghasilkan catatan ledger.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),7,Fitur,Kontrol money supply,"Saldo awal, reserve bank, stimulus, dan limit pinjaman mengikuti aturan.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),8,Aturan,Fitur mengikuti pola Input-Proses-Output (IPO),"Setiap fitur memiliki input, proses, dan output yang eksplisit.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),9,Aturan,Endpoint API jelas dan konsisten,"Method, URL, request JSON, response JSON, dan status code terdokumentasi.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),10,Aturan,Validasi input diterapkan,"Validasi field wajib, tipe data, nominal, stok, user, dan status transaksi.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),11,Aturan,JWT/authentication diterapkan,Request antar aplikasi memiliki mekanisme token/otorisasi.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),12,Aturan,Logging request dan transaksi tersedia,"Log minimal mencatat waktu, endpoint, user/app, status, dan error.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),13,Aturan,Komunikasi antar aplikasi melalui Gateway,Tidak ada integrasi langsung yang melewati API Gateway/Integrator.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),14,Aturan,Tidak mengubah saldo di luar SmartBank,Aplikasi non-bank hanya mengirim payment request dan menerima status.,2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
item,smartbank,Kelompok 1,SmartBank (Core),15,Dokumentasi,Dokumen desain aplikasi selesai,"Deskripsi aplikasi, use case, arsitektur, API, database, dan mekanisme transaksi tersedia.",2026-06-02,FALSE,,,,,,2026-06-02T08:46:24.336Z
